season_id,game_type_id
19171918,2
19181919,2
19191920,2
19201921,2
19211922,2
19221923,2
19231924,2
19241925,2
19251926,2
19261927,2
19271928,2
19281929,2
19291930,2
19301931,2
19311932,2
19321933,2
19331934,2
19341935,2
19351936,2
19361937,2
19371938,2
19381939,2
19391940,2
19401941,2
19411942,2
19421943,2
19431944,2
19441945,2
19451946,2
19461947,2
19471948,2
19481949,2
19491950,2
19501951,2
19511952,2
19521953,2
19531954,2
19541955,2
19551956,2
19561957,2
19571958,2
19581959,2
19591960,2
19601961,2
19611962,2
19621963,2
19631964,2
19641965,2
19651966,2
19661967,2
19671968,2
19681969,2
19691970,2
19701971,2
19711972,2
19721973,2
19731974,2
19741975,2
19751976,2
19761977,2
19771978,2
19781979,2
19791980,2
19801981,2
19811982,2
19821983,2
19831984,2
19841985,2
19851986,2
19861987,2
19871988,2
19881989,2
19891990,2
19901991,2
19911992,2
19921993,2
19931994,2
19941995,2
19951996,2
19961997,2
19971998,2
19981999,2
19992000,2
20002001,2
20012002,2
20022003,2
20032004,2
20052006,2
20062007,2
20072008,2
20082009,2
20092010,2
20102011,2
20112012,2
20122013,2
20132014,2
20142015,2
20152016,2
20162017,2
20172018,2
20182019,2
20192020,2
20202021,2
20212022,2
20222023,2
20232024,2
20242025,2
19171918,3
19181919,3
19191920,3
19201921,3
19211922,3
19221923,3
19231924,3
19241925,3
19251926,3
19261927,3
19271928,3
19281929,3
19291930,3
19301931,3
19311932,3
19321933,3
19331934,3
19341935,3
19351936,3
19361937,3
19371938,3
19381939,3
19391940,3
19401941,3
19411942,3
19421943,3
19431944,3
19441945,3
19451946,3
19461947,3
19471948,3
19481949,3
19491950,3
19501951,3
19511952,3
19521953,3
19531954,3
19541955,3
19551956,3
19561957,3
19571958,3
19581959,3
19591960,3
19601961,3
19611962,3
19621963,3
19631964,3
19641965,3
19651966,3
19661967,3
19671968,3
19681969,3
19691970,3
19701971,3
19711972,3
19721973,3
19731974,3
19741975,3
19751976,3
19761977,3
19771978,3
19781979,3
19791980,3
19801981,3
19811982,3
19821983,3
19831984,3
19841985,3
19851986,3
19861987,3
19871988,3
19881989,3
19891990,3
19901991,3
19911992,3
19921993,3
19931994,3
19941995,3
19951996,3
19961997,3
19971998,3
19981999,3
19992000,3
20002001,3
20012002,3
20022003,3
20032004,3
20052006,3
20062007,3
20072008,3
20082009,3
20092010,3
20102011,3
20112012,3
20122013,3
20132014,3
20142015,3
20152016,3
20162017,3
20172018,3
20182019,3
20192020,3
20202021,3
20212022,3
20222023,3
20232024,3
20242025,3
